Apple with skin (7cm.diam),1,fruit,unit,138,72,300,-1,19,14,2.6,-1,8,0.2,1,148,7,15,4,37,0,4,6,0,0
"Applesauce, unsweetened",125,fruit,mL,129,55,232,-1,15,13,1.5,-1,4,0.2,3,97,4,9,1,17,0,1,13,0,0
"Apricots, dried",0.5,fruit,pieces,21,67,281,1,17,-1,1.2,-1,13,1.3,3,389,13,33,133,0,0,1,2,0,0
"Apricots, raw",3,fruit,unit,105,50,211,1,12,10,2.1,-1,14,0.4,1,272,11,24,101,1149,0,9,11,0,0
Avocado,0.5,fruit,unit,101,161,672,2,9,1,6.7,15,12,0.6,7,487,29,52,7,62,0,81,10,0,0
Banana,1,fruit,unit,118,105,439,1,27,14,2.1,-1,6,0.3,1,422,32,26,4,31,0,24,10,0,0
Blackberries,125,fruit,mL,76,33,137,1,7,4,4,-1,22,0.5,1,123,15,17,8,97,0,19,16,0,0
"Blueberries, frozen, unsweetened",125,fruit,mL,82,42,174,-1,10,7,2.6,1,7,0.1,1,44,4,9,2,23,0,6,2,0,0
"Blueberries, raw",125,fruit,m:,77,44,182,1,11,8,2,-1,5,0.2,1,59,5,9,2,25,0,5,7,0,0
"Cherries, sweet",10,fruit,unit,68,43,179,1,11,9,1.4,-1,9,0.2,0,151,7,14,2,26,0,3,5,0,0
Clementine,1,fruit,unit,74,35,146,1,9,7,1.3,-1,22,0.1,1,131,7,16,-1,-1,-1,18,36,0,0
"Cranberries, dried, sweetened",60,fruit,mL,31,95,396,-1,25,20,1.8,-1,3,0.2,1,12,2,2,0,0,0,0,-1,0,0
"Dates, dried",3,fruit,unit,25,70,294,1,19,16,2,-1,10,0.3,-1,163,11,15,0,1,0,5,-1,0,0
"Figs, dried",2,fruit,unit,17,42,175,1,11,8,1.6,-1,27,0.3,2,114,11,11,-1,1,0,2,-1,0,0
"Figs, raw",1,fruit,unit,50,37,155,-1,10,8,1.5,-1,18,0.2,1,116,9,7,4,43,0,3,1,0,0
"Fruit cocktail, canned, juice pack",125,fruit,mL,125,58,240,1,15,14,1.3,-1,10,0.3,5,119,9,18,19,193,0,4,3,0,0
"Fruit cocktail, canned, light syrup pack",125,fruit,mL,128,73,304,1,19,18,1.3,-1,8,0.4,8,114,6,14,13,133,0,4,2,0,0
"Fruit salad, tropical, canned, heavy syrup pack",125,fruit,mL,136,117,489,1,30,-1,1.8,-1,18,0.7,3,178,18,10,8,102,-1,12,24,0,0
